1F1E6 1F1E8	AC
1F1E6 1F1E9	AD
1F1E6 1F1EA	AE
1F1E6 1F1EB	AF
1F1E6 1F1EC	AG
1F1E6 1F1EE	AI
1F1E6 1F1F1	AL
1F1E6 1F1F2	AM
1F1E6 1F1F4	AO
1F1E6 1F1F6	AQ
1F1E6 1F1F7	AR
1F1E6 1F1F8	AS
1F1E6 1F1F9	AT
1F1E6 1F1FA	AU
1F1E6 1F1FC	AW
1F1E6 1F1FD	AX
1F1E6 1F1FF	AZ
1F1E7 1F1E6	BA
1F1E7 1F1E7	BB
1F1E7 1F1E9	BD
1F1E7 1F1EA	BE
1F1E7 1F1EB	BF
1F1E7 1F1EC	BG
1F1E7 1F1ED	BH
1F1E7 1F1EE	BI
1F1E7 1F1EF	BJ
1F1E7 1F1F1	BL
1F1E7 1F1F2	BM
1F1E7 1F1F3	BN
1F1E7 1F1F4	BO
1F1E7 1F1F6	BQ
1F1E7 1F1F7	BR
1F1E7 1F1F8	BS
1F1E7 1F1F9	BT
1F1E7 1F1FB	BV
1F1E7 1F1FC	BW
1F1E7 1F1FE	BY
1F1E7 1F1FF	BZ
1F1E8 1F1E6	CA
1F1E8 1F1E8	CC
1F1E8 1F1E9	CD
1F1E8 1F1EB	CF
1F1E8 1F1EC	CG
1F1E8 1F1ED	CH
1F1E8 1F1EE	CI
1F1E8 1F1F0	CK
1F1E8 1F1F1	CL
1F1E8 1F1F2	CM
1F1E8 1F1F3	CN
1F1E8 1F1F4	CO
1F1E8 1F1F5	CP
1F1E8 1F1F6	CQ
1F1E8 1F1F7	CR
1F1E8 1F1FA	CU
1F1E8 1F1FB	CV
1F1E8 1F1FC	CW
1F1E8 1F1FD	CX
1F1E8 1F1FE	CY
1F1E8 1F1FF	CZ
1F1E9 1F1EA	DE
1F1E9 1F1EC	DG
1F1E9 1F1EF	DJ
1F1E9 1F1F0	DK
1F1E9 1F1F2	DM
1F1E9 1F1F4	DO
1F1E9 1F1FF	DZ
1F1EA 1F1E6	EA
1F1EA 1F1E8	EC
1F1EA 1F1EA	EE
1F1EA 1F1EC	EG
1F1EA 1F1ED	EH
1F1EA 1F1F7	ER
1F1EA 1F1F8	ES
1F1EA 1F1F9	ET
1F1EA 1F1FA	EU
1F1EB 1F1EE	FI
1F1EB 1F1EF	FJ
1F1EB 1F1F0	FK
1F1EB 1F1F2	FM
1F1EB 1F1F4	FO
1F1EB 1F1F7	FR
